index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
448,Aes Corporation,AES,0.03%,18.07,0.14,(0.78%)
449,"Huntington Ingalls Industries, Inc.",HII,0.03%,287.60,-3.87,(-1.33%)
450,"Bath & Body Works, Inc.",BBWI,0.03%,50.21,0.19,(0.38%)
451,Symbol Not Found,UDR,0.03%,36.64,-0.77,(-2.06%)
452,Symbol Not Found,FFIV,0.03%,189.84,0.25,(0.13%)
453,"Qorvo, Inc.",QRVO,0.03%,114.15,-0.68,(-0.59%)
454,Symbol Not Found,NI,0.03%,27.48,-0.18,(-0.65%)
455,Symbol Not Found,UHS,0.03%,175.21,-7.25,(-3.97%)
456,Symbol Not Found,TECH,0.02%,69.41,-0.98,(-1.39%)
457,Symbol Not Found,AOS,0.02%,89.08,-0.38,(-0.42%)
458,"Tapestry, Inc.",TPR,0.02%,48.10,0.62,(1.31%)
459,Symbol Not Found,INCY,0.02%,56.64,-0.33,(-0.58%)
460,Teleflex Incorporated,TFX,0.02%,222.88,-3.29,(-1.45%)
461,The Mosaic Company,MOS,0.02%,32.43,-0.03,(-0.09%)
